,Rank,Country,Country Code,Year,Score,GDP,Family,HealthyLife,Freedom,Generosity,Corruption,CleanCooking,ElectricAccess,CO2,InternetAccess,MilitaryGDP,MobileSubs,InfantMortality
44,49,Bahrain,BHR,2015,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,100.0,100.0,22.30559688,93.4783008,4.632877365,183.6245336,6.5
45,42,Bahrain,BHR,2016,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,100.0,100.0,21.18119531,97.9999807,4.671440867,210.0492218,6.4
46,41,Bahrain,BHR,2017,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,100.0,100.0,20.33362404,95.87813575,4.33877531,158.2568089,6.3
47,43,Bahrain,BHR,2018,6.105,1.338,1.366,0.698,0.594,0.243,0.123,100.0,100.0,19.59297584,98.64467258,4.07429483,133.3409369,6.1
48,37,Bahrain,BHR,2019,6.199,1.362,1.368,0.871,0.536,0.255,0.11,100.0,100.0,,99.70149256,4.055054417,115.7929212,5.9
49,109,Bangladesh,BGD,2015,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,17.9,74.44007874,0.458797539,8.3,1.350969947,84.07708629,31.0
50,110,Bangladesh,BGD,2016,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,19.1,75.92,0.466776363,9.2,1.372321482,86.07690632,29.6
51,110,Bangladesh,BGD,2017,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,20.5,88.0,0.492906613,10.3,1.240256126,94.5264735,28.2
52,115,Bangladesh,BGD,2018,4.5,0.532,0.85,0.579,0.58,0.153,0.144,21.799999,91.8,0.512837314,11.5,1.263999785,100.2447125,26.8
53,125,Bangladesh,BGD,2019,4.456,0.562,0.928,0.723,0.527,0.166,0.143,23.0,92.2,,12.9,1.348906693,101.5491558,25.5
54,59,Belarus,BLR,2015,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,98.900002,100.0,5.801665688,62.23036091,1.257482359,121.2815762,3.1
55,61,Belarus,BLR,2016,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,98.900002,100.0,5.83037177,71.11304576,1.253515045,121.112623,2.9
56,67,Belarus,BLR,2017,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,99.0,100.0,5.945667132,74.43644541,1.146289015,120.7921902,2.7
57,73,Belarus,BLR,2018,5.483,1.039,1.498,0.7,0.307,0.101,0.154,99.0,100.0,6.283647736,79.12988669,1.182261729,122.925228,2.5
58,81,Belarus,BLR,2019,5.323,1.067,1.465,0.789,0.235,0.094,0.142,98.900002,100.0,,82.78915209,1.226168363,123.0082886,2.4
59,19,Belgium,BEL,2015,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,100.0,100.0,8.444061111,85.05294175,0.909284202,113.1658212,3.3
60,18,Belgium,BEL,2016,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,100.0,100.0,8.323756718,86.51647666,0.894706236,110.5368746,3.3
61,17,Belgium,BEL,2017,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,100.0,100.0,8.155491115,87.67968082,0.883680595,99.45303522,3.3
62,16,Belgium,BEL,2018,6.927,1.324,1.483,0.894,0.583,0.188,0.24,100.0,100.0,8.179711061,88.647343,0.890644486,99.69668646,3.4
63,18,Belgium,BEL,2019,6.923,1.356,1.504,0.986,0.473,0.16,0.21,100.0,100.0,,90.27542981,0.89304295,99.7421427,3.4
64,52,Belize,BLZ,2016,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,83.0,93.21820831,1.764391326,44.57574032,1.223192232,60.51248643,12.5
65,50,Belize,BLZ,2017,5.95599985122681,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,82.900002,94.18984222,1.729758499,47.0826258,1.255364915,63.72026431,11.8
66,49,Belize,BLZ,2018,5.956,0.807,1.101,0.474,0.593,0.183,0.089,83.0,91.72,1.775127848,,1.294665671,64.29904639,11.1
67,155,Benin,BEN,2015,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,4.3000002,29.62,0.566378737,11.25498791,0.798484705,88.1051181,63.2
68,153,Benin,BEN,2016,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681,4.3000002,37.08368683,0.665006634,11.99,0.673596727,81.7921125,61.9
69,143,Benin,BEN,2017,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,4.1999998,34.5,0.65860166,13.3,0.920613124,78.50459562,60.6
70,136,Benin,BEN,2018,4.141,0.378,0.372,0.24,0.44,0.163,0.067,4.0999999,39.23860168,0.688722324,26.0,0.63285754,82.38429039,59.3
71,102,Benin,BEN,2019,4.883,0.393,0.437,0.397,0.349,0.175,0.082,4.0,40.31874084,,29.0,0.472934841,87.70201313,57.9
72,79,Bhutan,BTN,2015,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,74.0,95.44389343,1.31888966,39.8,,92.83820321,27.4
73,84,Bhutan,BTN,2016,5.196,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616,75.800003,99.50035858,1.669594112,41.77264453,,94.79644581,26.5
74,97,Bhutan,BTN,2017,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,76.400002,97.7,1.783886808,,,97.99614519,25.6
75,97,Bhutan,BTN,2018,5.082,0.796,1.335,0.527,0.541,0.364,0.171,78.0,99.96877289,1.829277992,,,93.26155771,24.7
76,95,Bhutan,BTN,2019,5.082,0.813,1.321,0.604,0.457,0.37,0.167,79.099998,100.0,,,,95.5637066,23.9
